Bin,Proportion,Sample,Treatment,TimePoint
11.25,0.004085291,606,H,1
11.75,0.00203772,606,H,1
12.25,0.001609261,606,H,1
12.75,0.000735647,606,H,1
13.25,0.000479254,606,H,1
13.75,0,606,H,1
14.25,0,606,H,1
14.75,0,606,H,1
15.25,0,606,H,1
0.25,0,611,H,1
0.75,0,611,H,1
1.25,0.03919239,611,H,1
1.75,0.02042419,611,H,1
2.25,0.2052372,611,H,1
2.75,0.07296781,611,H,1
3.25,0.2062567,611,H,1
3.75,0.08406191,611,H,1
4.25,0.09477692,611,H,1
4.75,0.02955557,611,H,1
5.25,0.06781776,611,H,1
5.75,0.03217067,611,H,1
6.25,0.04711298,611,H,1
6.75,0.0182896,611,H,1
7.25,0.03437329,611,H,1
7.75,0.01447266,611,H,1
8.25,0.01476986,611,H,1
8.75,0.008151241,611,H,1
9.25,0.006576625,611,H,1
9.75,0.001505602,611,H,1
10.25,0.001614919,611,H,1
10.75,0.000369564,611,H,1
11.25,0.000139011,611,H,1
11.75,7.71E-05,611,H,1
12.25,8.64E-05,611,H,1
12.75,0,611,H,1
13.25,0,611,H,1
13.75,0,611,H,1
14.25,0,611,H,1
14.75,0,611,H,1
15.25,0,611,H,1
0.25,0,613,C,1
0.75,0,613,C,1
1.25,0.074080358,613,C,1
1.75,0.026161702,613,C,1
2.25,0.189538625,613,C,1
2.75,0.037849657,613,C,1
3.25,0.118572338,613,C,1
3.75,0.05394296,613,C,1
4.25,0.081833845,613,C,1
4.75,0.033386328,613,C,1
5.25,0.077474917,613,C,1
5.75,0.038021505,613,C,1
6.25,0.055673856,613,C,1
6.75,0.026275739,613,C,1
7.25,0.053772954,613,C,1
7.75,0.026945187,613,C,1
8.25,0.029928048,613,C,1
8.75,0.018632435,613,C,1
9.25,0.025016322,613,C,1
9.75,0.008295366,613,C,1
10.25,0.010767866,613,C,1
10.75,0.006487689,613,C,1
11.25,0.003129101,613,C,1
11.75,0.002323734,613,C,1
12.25,0.001889468,613,C,1
12.75,0,613,C,1
13.25,0,613,C,1
13.75,0,613,C,1
14.25,0,613,C,1
14.75,0,613,C,1
15.25,0,613,C,1
0.25,0,614,C,1
0.75,0,614,C,1
1.25,0.02928441,614,C,1
1.75,0.013610152,614,C,1
2.25,0.133717315,614,C,1
2.75,0.048647536,614,C,1
3.25,0.147205026,614,C,1
3.75,0.069301593,614,C,1
4.25,0.09448155,614,C,1
4.75,0.04107682,614,C,1
5.25,0.11007428,614,C,1
5.75,0.056169915,614,C,1
6.25,0.080708714,614,C,1
6.75,0.032734784,614,C,1
7.25,0.065420562,614,C,1
7.75,0.029443753,614,C,1
8.25,0.024175637,614,C,1
8.75,0.01132745,614,C,1
9.25,0.008570507,614,C,1
9.75,0.002128222,614,C,1
10.25,0.001335005,614,C,1
10.75,0.000266666,614,C,1
11.25,0.000320103,614,C,1
11.75,0,614,C,1
12.25,0,614,C,1
12.75,0,614,C,1
13.25,0,614,C,1
13.75,0,614,C,1
14.25,0,614,C,1
14.75,0,614,C,1
15.25,0,614,C,1
0.25,0,615,C,1
0.75,0,615,C,1
1.25,0.05951405,615,C,1
1.75,0.0192152,615,C,1
2.25,0.1225813,615,C,1
2.75,0.02358819,615,C,1
3.25,0.08403111,615,C,1
3.75,0.05404594,615,C,1
4.25,0.1084104,615,C,1
4.75,0.05282479,615,C,1
5.25,0.1266044,615,C,1
5.75,0.06473472,615,C,1
6.25,0.0898278,615,C,1
6.75,0.03717896,615,C,1
7.25,0.07010064,615,C,1
7.75,0.03302391,615,C,1
8.25,0.0307965,615,C,1
8.75,0.01251433,615,C,1
9.25,0.006673573,615,C,1
9.75,0.001964491,615,C,1
10.25,0.001915204,615,C,1
10.75,4.98E-05,615,C,1
11.25,0.000404583,615,C,1
11.75,0,615,C,1
12.25,0,615,C,1
12.75,0,615,C,1
13.25,0,615,C,1
13.75,0,615,C,1
14.25,0,615,C,1
14.75,0,615,C,1
15.25,0,615,C,1
0.25,0,621,C,1
0.75,0,621,C,1
1.25,0.094888445,621,C,1
1.75,0.037444507,621,C,1
2.25,0.26881166,621,C,1
2.75,0.052142197,621,C,1
3.25,0.141834921,621,C,1
3.75,0.053852778,621,C,1
4.25,0.078619828,621,C,1
4.75,0.036374105,621,C,1
5.25,0.078996017,621,C,1
5.75,0.033577658,621,C,1
6.25,0.041921484,621,C,1
6.75,0.015391757,621,C,1
7.25,0.024584366,621,C,1
7.75,0.010601362,621,C,1
8.25,0.01135246,621,C,1
8.75,0.007223229,621,C,1
9.25,0.005870412,621,C,1
9.75,0.002824908,621,C,1
10.25,0.002354793,621,C,1
10.75,0.000546245,621,C,1
11.25,0.000786867,621,C,1
11.75,0,621,C,1
12.25,0,621,C,1
12.75,0,621,C,1
13.25,0,621,C,1
13.75,0,621,C,1
14.25,0,621,C,1
14.75,0,621,C,1
15.25,0,621,C,1
0.25,0,622,C,1
0.75,0,622,C,1
1.25,0.041662218,622,C,1
1.75,0.017333262,622,C,1
2.25,0.188819447,622,C,1
2.75,0.065160586,622,C,1
3.25,0.184446711,622,C,1
3.75,0.073874112,622,C,1
4.25,0.08556118,622,C,1
4.75,0.02927999,622,C,1
5.25,0.06513888,622,C,1
5.75,0.03178445,622,C,1
6.25,0.048852863,622,C,1
6.75,0.020972339,622,C,1
7.25,0.041036137,622,C,1
7.75,0.021447702,622,C,1
8.25,0.023609496,622,C,1
8.75,0.014712897,622,C,1
9.25,0.019919087,622,C,1
9.75,0.007167191,622,C,1
10.25,0.008948176,622,C,1
10.75,0.003550203,622,C,1
11.25,0.004026152,622,C,1
11.75,0.000950434,622,C,1
12.25,0.00077114,622,C,1
12.75,0.000781165,622,C,1
13.25,0.000194321,622,C,1
13.75,0,622,C,1
14.25,0,622,C,1
14.75,0,622,C,1
15.25,0,622,C,1
0.25,0,623,C,1
0.75,0,623,C,1
1.25,0.074119806,623,C,1
1.75,0.028341242,623,C,1
2.25,0.239152126,623,C,1
2.75,0.056809213,623,C,1
3.25,0.150166789,623,C,1
3.75,0.067202562,623,C,1
4.25,0.119590586,623,C,1
4.75,0.048782395,623,C,1
5.25,0.105880674,623,C,1
5.75,0.03665605,623,C,1
6.25,0.038153232,623,C,1
6.75,0.010816889,623,C,1
7.25,0.015083593,623,C,1
7.75,0.00398844,623,C,1
8.25,0.002850562,623,C,1
8.75,0.001044079,623,C,1
9.25,0.001361761,623,C,1
9.75,0,623,C,1
10.25,0,623,C,1
10.75,0,623,C,1
11.25,0,623,C,1
11.75,0,623,C,1
12.25,0,623,C,1
12.75,0,623,C,1
13.25,0,623,C,1
13.75,0,623,C,1
14.25,0,623,C,1
14.75,0,623,C,1
15.25,0,623,C,1
